,l2 error,nb components,L1 relative error
PLM-LV1,1.4837,3.0000,10.3340
PLM-LV2,0.8593,4.0000,7.3395
PLN-LG,2.3628,3.0000,13.2407
PLN-LR,1.2396,2.0000,8.1926
PLN-LT,1.1912,4.0000,8.2699
PLN-LV,1.0562,4.0000,7.6661
PLN-PS,1.2894,3.0000,7.3748
PLO-LD,1.1812,4.0000,9.3038
PLP-BG,1.0399,4.0000,8.0798
PLR-LP,1.4064,4.0000,11.9112
PLS-LG,1.2501,4.0000,8.7310
PLS-LO,0.9335,4.0000,7.5613
PLS-LT1,0.9926,5.0000,8.9037
PLS-LT2,0.7987,6.0000,6.6286
PLS-PV,0.8992,5.0000,8.5918
PLT-BJ1,0.9416,5.0000,9.1866
PLT-BJ2,0.5359,4.0000,4.7045
PLT-BJ3,0.7271,4.0000,5.9712
PLT-TL1,0.9364,3.0000,6.1721
PLT-TL2,1.1100,4.0000,8.9185
PLT-VM1,1.5560,3.0000,11.3897
PLT-VM2,1.0303,4.0000,7.1850
PLT-VM3,0.9382,4.0000,6.3405
PLT-VM4,0.9282,4.0000,9.3156
PLU-LN,1.2404,4.0000,11.4365
PLU-VC,0.7895,6.0000,6.6153
PLX-BB,0.8238,5.0000,6.4040
PLX-NV,0.8353,5.0000,6.1447
PLY-BR,1.5686,4.0000,12.8785
PLY-KM,1.5847,4.0000,12.4103
PLY-PB1,1.3695,4.0000,9.9842
PLY-PB2,1.2659,4.0000,9.9281
PLY-QC1,1.3713,4.0000,11.3942
PLY-QC2,0.9309,4.0000,7.4674
PLY-SM,1.0339,4.0000,9.1791
PLZ-SQ,1.3252,5.0000,10.7898
PMG-MD,2.0134,4.0000,13.1907
PMQ-KN,1.9853,3.0000,13.6572
PMR-KD,1.4186,4.0000,9.5746
PMR-KG,1.4924,5.0000,13.2422
PMR-KL,1.3267,5.0000,11.9995
PMR-KM,1.3471,4.0000,10.9855
PMR-KV,1.8885,5.0000,15.2096
PMT-SA,1.7279,4.0000,13.3893
PNF-LC,1.8413,4.0000,11.9010
PNF-LM,2.1589,4.0000,12.4002
PNF-SP,1.7228,4.0000,11.0710
PNF-VA,1.6861,3.0000,10.7330
PNF-VM,0.6702,4.0000,4.8779
PNT-MO,0.7372,4.0000,5.3980
PRD-FA,1.5615,4.0000,10.6222
PSS-DS,0.6763,5.0000,5.2734
PSS-TE,1.5749,3.0000,10.4191
PSS-VB,2.0801,3.0000,10.7942
PTP-BE1,1.4587,4.0000,10.7909
PTP-BE2,1.2759,4.0000,9.5197
PTT-LB,1.2296,3.0000,8.0882
QBR-LG,0.9638,5.0000,8.9286
QBR-LG1,0.8973,5.0000,7.3928
QBR-LG2,0.6792,6.0000,5.8746
QBR-LH,0.8796,5.0000,6.2716
QBR-LP,0.4357,5.0000,3.8959
QBR-PV,0.8356,4.0000,6.7457
QBR-VH,1.2728,4.0000,8.9916
QDL-LF,0.9997,4.0000,7.6324
QDL-LH,0.9549,5.0000,7.6078
QDL-VF,1.0389,5.0000,8.8578
QDL-VG,1.0498,4.0000,7.2352
QLC-LR,0.7609,3.0000,5.5944
QPG-KG,1.1703,2.0000,7.7637
QPG-LG1,0.9931,5.0000,8.7666
QPG-LG2,1.1240,5.0000,9.3366
QRN-BV,1.0759,5.0000,8.8535
QSY-LP,1.2092,5.0000,9.7916
QTN-LR,1.1418,6.0000,9.2710
RAN-BN,0.7852,4.0000,5.4333
