,l2 error,nb components,L1 relative error
LME-LP4,3.0052,4.0000,19.5869
LME-LP5,2.8808,4.0000,19.0587
LME-MG,0.6641,5.0000,4.6648
LMT-BG,0.9252,5.0000,4.2628
LMT-FL,1.1496,5.0000,5.3757
LMT-GL,1.3421,5.0000,8.0904
LMT-LC,1.2419,4.0000,7.3966
LMZ-GV,0.8494,5.0000,5.3073
LMZ-PR,0.8351,5.0000,4.6821
LNG-CT,0.8600,5.0000,5.0943
LNG-LB,0.7919,5.0000,4.6213
LNG-LC,0.6629,5.0000,4.0818
LNN-LC,2.1556,4.0000,13.8478
LNN-LP1,1.6949,5.0000,10.6619
LNN-LP2,1.9253,4.0000,11.8999
LNT-BG,1.0715,5.0000,7.9273
LNT-LC,0.7858,6.0000,5.5665
LNT-MJ,0.6889,5.0000,4.6300
LOC-AU1,0.8865,7.0000,6.4633
LOC-AU2,0.9782,7.0000,6.8826
LOS-LB,1.0821,5.0000,5.6535
LOS-RG,1.0055,5.0000,5.6708
LPT-BG,1.0151,6.0000,8.4405
LQI-LV1,1.8334,6.0000,12.1589
LQI-LV2,1.4504,5.0000,9.7691
LQI-VM,2.2710,4.0000,12.8453
LRH-LC,0.9516,5.0000,5.5077
LRH-LC1,1.1423,5.0000,6.8012
LRH-LC2,1.0700,5.0000,6.2450
LRH-LC3,0.9080,7.0000,5.1734
LRN-BRE1,0.9601,5.0000,5.4702
LRN-BRE2,1.0595,5.0000,6.4127
LRN-BRE3,1.1609,6.0000,7.0381
LRN-BRW1,1.3665,7.0000,6.8798
LRN-BRW2,1.1256,7.0000,7.2078
LRN-CAE1,1.5080,6.0000,8.2759
LRN-CAE2,1.7774,7.0000,9.6492
LRN-CAW1,1.1596,5.0000,6.3500
LRN-CAW2,0.9140,5.0000,6.3566
LRN-CG1,1.0159,5.0000,5.3079
LRN-CG2,1.0589,5.0000,4.7586
LRN-RD,0.8677,5.0000,5.9403
LRN-SU1,0.8796,5.0000,4.9583
LRN-SU2,1.1481,5.0000,5.0993
LRN-VG,1.2669,4.0000,5.3888
LRN-VH1,0.9123,5.0000,5.6098
LRN-VH2,0.8350,5.0000,4.7055
LRN-VH3,1.0324,6.0000,6.9585
LRO-LC1,1.2817,7.0000,11.1808
LRO-LC2,1.7445,4.0000,11.5632
LRS-VD,1.3471,3.0000,7.0290
LSG-LP,1.7303,6.0000,11.5975
LTI-BV,0.8829,5.0000,5.9719
LTR-VG,1.0266,5.0000,4.0145
LTY-PC,1.2779,5.0000,7.6868
LUI-LG,1.2889,5.0000,8.7517
LVB-LF,1.7087,5.0000,12.2706
LVB-LG,1.4512,5.0000,10.2309
LVC-LM,0.9375,5.0000,7.0115
LVG-LB,1.0706,5.0000,8.0300
LVI-LC,1.0898,5.0000,5.9210
LYT-CT,0.7830,5.0000,5.3621
LYT-KS1,1.6990,5.0000,11.1257
LYT-KS2,2.2162,4.0000,14.4857
MAB-LB,1.5858,4.0000,9.7862
MAB-LG,1.9543,4.0000,12.3406
MAB-LH,1.4063,5.0000,9.0156
MAB-LL,1.5854,4.0000,9.7815
MAE-KS,0.9903,6.0000,6.0826
MAO-LQ,1.1161,5.0000,6.6871
MAO-VR,1.6309,5.0000,10.5811
MAP-PB,1.1348,5.0000,7.2991
MAR-CP,1.7080,5.0000,11.3928
MAT-LM,1.5318,4.0000,7.7513
MAT-PS,2.3060,4.0000,9.0227
MAT-PS2,1.1554,5.0000,5.4925
MAU-BG1,1.1583,5.0000,7.4620
MAU-BG2,1.2173,5.0000,7.6015
MAU-PB,1.9143,5.0000,11.6203
MAU-SU,0.9506,5.0000,6.4117
MAU-VJ,2.1578,3.0000,12.0034
MAX-LB,0.9408,5.0000,7.2446
MAX-LT,0.8926,5.0000,6.2335
MDL-GV,1.2704,4.0000,9.0777
MDL-LM,1.9495,5.0000,11.5555
MDR-BG,0.9491,5.0000,5.8282
MDR-GF,2.7352,3.0000,14.2166
MDR-LE,1.1131,5.0000,7.8435
MDR-QR1,0.6813,5.0000,4.3395
MDR-QR2,1.3349,5.0000,7.6710
MDR-SV,1.3951,5.0000,8.5165
MEL-HF,1.6221,4.0000,8.1663
MEL-NR,4.2933,3.0000,20.3682
MEN-BO,0.8393,5.0000,4.2551
MEN-CO,1.1488,5.0000,5.8650
MEN-EF,1.0459,6.0000,6.7245
MEN-LB,0.9890,5.0000,5.5600
MER-LR,0.7989,5.0000,4.5153
MES-RG,0.9648,6.0000,6.5436
MFT-AB,0.7914,5.0000,5.8901
MFT-FT,1.1731,5.0000,7.4864
MFT-FT2,0.8249,5.0000,5.0514
MFT-FT3,0.9624,5.0000,5.7157
MFT-HC,0.9618,5.0000,7.0846
MFT-LA,1.0831,6.0000,6.8925
MLC-LH,1.1423,7.0000,6.3321
MLC-LM,1.7069,6.0000,10.4306
MLC-PM,1.1952,6.0000,6.7130
MLC-VA,2.0182,4.0000,11.2845
MLC-VE,2.2260,4.0000,12.8392
MLL-LG,1.0815,5.0000,5.5996
MMV-VG,1.1243,5.0000,5.6988
MOH-LG,0.7326,5.0000,4.4496
MOH-PJ,0.9077,5.0000,5.1678
MOH-TF,0.7620,5.0000,5.3199
MOR-MC,1.2857,6.0000,9.2430
MOR-PT,0.8099,6.0000,6.2596
MOR-VB,1.2043,7.0000,10.2637
MOU-BG,0.7823,5.0000,5.0762
MOX-GC,1.5416,7.0000,12.6034
MOZ-LL,1.9781,5.0000,13.2330
MRD-LG1,0.9854,5.0000,4.8644
MRD-LG2,0.9141,5.0000,4.4627
MRD-LG3,0.8593,5.0000,4.6511
MRD-LG4,0.8361,5.0000,4.3646
MRD-VC1,1.3812,4.0000,7.2662
MRD-VC2,3.0736,3.0000,17.4462
MRD-VC3,2.0049,3.0000,11.4632
MRD-VC4,1.1791,5.0000,4.6046
MRD-VC5,0.8851,5.0000,4.3299
MRN-LB,0.9713,5.0000,5.1205
MSB-CF,1.5742,5.0000,10.3547
MSB-EC,1.7962,5.0000,11.3261
